address_id,neighborhood_id,street,latitude,longitude
1,1,8438 Lincoln Place,40.7542195,-73.9966099
2,2,5735 Lake Terrace,40.7206321,-73.9871815
3,3,1905 Lincoln Boulevard,40.7278283,-73.9836386
4,4,9737 Washington Avenue,40.7083234,-74.0189725
5,5,9970 Washington Road,40.7038028,-74.0099767
6,6,8211 Pine Terrace,40.7113491,-74.0098940
7,7,1503 Lincoln Place,40.7078605,-74.0070621
8,8,5999 Park Road,40.7158767,-73.9950308
9,9,7548 Hill Way,40.7224772,-73.9770826
10,10,9278 Oak Road,40.7367212,-73.9893075
11,11,4608 Jefferson Street,40.7444655,-73.9993667
12,12,7986 Elm Terrace,40.7248815,-74.0012966
13,13,4726 Lake Street,40.7221400,-74.0005248
14,14,4018 Main Drive,40.7320636,-74.0063191
15,15,7964 Broadway Street,40.7355582,-73.9906898
16,16,4962 Lincoln Place,40.7433031,-73.9864781
17,17,6867 Elm Place,40.7501800,-73.9767941
18,18,6600 Maple Avenue,40.7522520,-73.9927387
19,19,2676 Main Street,40.7680072,-73.9876166
20,20,2220 River Road,40.7560309,-73.9755170
21,21,3946 Elm Way,40.7727269,-73.9631609
22,22,8815 Park Avenue,40.7628045,-73.9644562
23,23,2825 Park Court,40.7786349,-73.9862145
24,24,2862 River Road,40.7821082,-73.9799655
25,25,618 Pine Road,40.8000855,-73.9641168
26,26,1914 Broadway Court,40.8018577,-73.9491279
27,27,5252 Lake Road,40.8123516,-73.9605664
28,28,9666 Jefferson Road,40.7788272,-73.9500377
29,29,3135 Oak Terrace,40.7913581,-73.9450238
30,30,6561 Lake Lane,40.8195163,-73.9482639
31,31,1008 Maple Road,33.9749018,-118.2510447
32,32,8623 Maple Way,33.9549746,-118.2207117
33,33,1446 Maple Street,33.9582856,-118.2750160
34,34,8631 Washington Lane,34.0749667,-118.3064515
35,35,87 Washington Place,34.0611764,-118.3142611
36,36,5724 Oak Lane,34.0504876,-118.2949894
37,37,8012 Hill Place,34.0257671,-118.2844198
38,38,3010 Park Street,34.0059468,-118.3418050
39,39,6678 Lake Street,33.9903503,-118.3626453
40,40,1222 Pine Drive,34.0602927,-118.3169700
41,41,1900 Maple Road,33.9974035,-118.2668591
42,42,593 Maple Terrace,34.0581487,-118.2415806
43,43,6325 Maple Road,34.0466319,-118.2479135
44,44,1638 Broadway Place,34.0449701,-118.2538763
45,45,1901 Washington Avenue,34.0362004,-118.2687515
46,46,8237 Hill Lane,34.0264062,-118.3410559
47,47,2578 Hill Street,34.0490673,-118.2653150
48,48,5421 Lake Drive,34.0286722,-118.3164729
49,49,657 Hill Road,34.0416572,-118.3341051
50,50,6761 Maple Way,34.0653162,-118.3041224
51,51,1082 Pine Place,41.8806329,-87.6229252
52,52,3725 Maple Avenue,41.8771530,-87.6305429
53,53,7937 Cedar Lane,41.8782563,-87.6238183
54,54,5926 Oak Road,41.8805050,-87.6184818
55,55,5803 Broadway Place,41.8676763,-87.6187566
56,56,6561 Lincoln Way,41.8798288,-87.6363933
57,57,4114 Maple Boulevard,41.8863417,-87.6490838
58,58,9890 Hill Court,41.8502215,-87.6651169
59,59,7376 Pine Drive,41.8072022,-87.6584199
60,60,379 Lincoln Street,41.9052805,-87.6309978
61,61,4942 Main Lane,41.8995364,-87.6237366
62,62,8217 River Boulevard,41.8805176,-87.6913518
63,63,238 Elm Avenue,41.9500821,-87.6600068
64,64,8686 Washington Way,41.9154421,-87.6508682
65,65,2443 Main Avenue,41.8179090,-87.6103495
66,66,593 Main Terrace,41.8455822,-87.6231772
67,67,5088 Washington Road,41.7321241,-87.5620777
68,68,7889 Oak Way,41.9453420,-87.7135435
69,69,3446 Washington Road,41.7388820,-87.6125650
70,70,631 Oak Drive,41.7361100,-87.6544719
71,71,4913 Hill Way,29.7592646,-95.3667010
72,72,5202 Washington Drive,29.7561272,-95.3659403
73,73,1479 Forest Drive,29.7539956,-95.3562801
74,74,7896 River Drive,29.7259047,-95.3691831
75,75,5420 Maple Way,29.7210096,-95.4220488
76,76,467 Cedar Terrace,29.7493410,-95.3908271
77,77,4965 Lake Terrace,29.7728251,-95.4035150
78,78,5265 Jefferson Drive,29.7992921,-95.4186945
79,79,3713 Park Terrace,29.7946798,-95.3651178
80,80,2275 Oak Way,29.7515663,-95.3612424
81,81,1985 Cedar Lane,29.7484029,-95.3005571
82,82,4751 Main Lane,29.7365070,-95.2878419
83,83,6360 River Road,29.7805160,-95.2302923
84,84,6303 Broadway Court,29.9566647,-95.4834292
85,85,1710 Park Terrace,29.7887353,-95.1473047
86,86,2830 Pine Avenue,29.8097449,-95.2991873
87,87,1219 Elm Drive,29.7087534,-95.2443111
88,88,3567 Washington Way,29.8256989,-95.4283957
89,89,8515 Elm Street,29.7578091,-95.4077991
90,90,9235 Elm Drive,29.7693485,-95.3232279
91,91,2309 Forest Avenue,33.4505537,-112.0690564
92,92,6060 Cedar Drive,33.4506933,-112.0674309
93,93,7142 Park Boulevard,33.4500485,-112.0738755
94,94,121 Elm Road,33.4625802,-112.0681345
95,95,703 Hill Lane,33.4686846,-112.0774062
96,96,140 Maple Street,33.4728208,-112.0606295
97,97,7899 Forest Avenue,33.4722390,-112.0840183
